index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
652,Chardonnay 2007,Coopers Creek,New Zealand,3.5,63,"35,002",https://www.vivino.com/coopers-creek-chardonnay/w/1679584?year=2007&price_id=14540603
653,Chardonnay 2021,Dog Point,New Zealand,4.0,63,"41,224",https://www.vivino.com/dog-point-chardonnay/w/79392?year=2021&price_id=35938634
654,Reméage Blanc 2015,Les Vins de Vienne - Cuilleron-Gaillard-Villard,France,3.4,62,"29,168",https://www.vivino.com/les-vins-de-vienne-remeage-blanc/w/1105959?year=2015&price_id=15786241
655,Chardonnay 2022,Rockburn,New Zealand,3.7,61,"26,381",https://www.vivino.com/rockburn-chardonnay/w/1374573?year=2022&price_id=34771428
656,Cachette Reserve 2019,Tantalus,New Zealand,4.1,61,"86,580",https://www.vivino.com/tantalus-waiheke-island-cachette-reserve/w/5175235?year=2019&price_id=24412106
657,Riesling 2012,Best's,Australia,3.9,61,"62,503",https://www.vivino.com/bests-riesling/w/96184?year=2012&price_id=21678413
658,Clos de Ste. Anne Les Arbres Viognier 2021,Millton,New Zealand,4.2,60,"70,087",https://www.vivino.com/millton-clos-de-ste-anne-les-arbres-viognier/w/3769161?year=2021&price_id=32721528
659,Show Reserve Chardonnay 2006,Rosemount,Australia,3.6,59,"45,419",https://www.vivino.com/rosemount-show-reserve-chardonnay/w/1640750?year=2006&price_id=2873788
660,DB Family Selection Traminer - Riesling 2012,De Bortoli,Australia,3.6,59,"20,834",https://www.vivino.com/de-bortoli-db-family-selection-traminer-riesling/w/19059?year=2012&price_id=2895144
661,Chardonnay II 2015,Von Winning,Germany,3.9,59,"58,295",https://www.vivino.com/de-von-winning-chardonnay-ii-pfalz/w/5290719?year=2015&price_id=15032662
662,Omaka Reserve Chardonnay 2022,Saint Clair Family Estate,New Zealand,4.0,59,"34,627",https://www.vivino.com/saint-clair-family-estate-omaka-reserve-chardonnay/w/1443972?year=2022&price_id=34789817
663,Reserva Sauvignon Blanc (Classic) 2008,Montes,Chile,3.6,58,"25,001",https://www.vivino.com/montes-reserva-sauvignon-blanc-classic/w/1149590?year=2008&price_id=14650541
664,Gato Blanco Sauvignon Blanc 2005,San Pedro,Chile,3.1,58,"17,501",https://www.vivino.com/san-pedro-central-valley-gato-blanco-sauvignon-blanc-lontue-valley/w/4384769?year=2005&price_id=15291849
665,Chardonnay - Sémillon 2017,Casa Silva,Chile,3.6,58,"20,001",https://www.vivino.com/casa-silva-chardonnay-semillon/w/1296652?year=2017&price_id=34060981
666,Monte dei Frati 2019,La Felce,Italy,3.6,58,"26,711",https://www.vivino.com/la-felce-monte-dei-frati/w/1633949?year=2019&price_id=23002949
667,Tradițional Fetească Regală Demisec 2012,Jidvei,Romania,3.7,57,"22,918",https://www.vivino.com/jidvei-traditional-feteasca-regala-demisec/w/54414?year=2012&price_id=14650507
668,Hattenheim Schützenhaus Riesling Kabinett 2013,Balthasar Ress,Germany,3.7,57,"35,419",https://www.vivino.com/balthasar-ress-hattenheim-schutzenhaus-riesling-kabinett/w/2004112?year=2013&price_id=14539931
669,Wehlener Sonnenuhr Riesling Kabinett 2004,Joh. Jos. Prüm,Germany,3.9,56,"83,338",https://www.vivino.com/joh-jos-prum-wehlener-sonnenuhr-riesling-kabinett/w/1208450?year=2004&price_id=14550291
670,Bannockburn Riesling 2022,Felton Road,New Zealand,3.9,56,"46,997",https://www.vivino.com/felton-road-bannockburn-riesling/w/1253004?year=2022&price_id=30876546
671,Le Merle Blanc de Château Clarke Bordeaux Blanc 2013,Château Clarke,France,4.0,55,"50,003",https://www.vivino.com/chateau-clarke-le-merle-blanc-de-chateau-clarke-bordeaux-blanc/w/2140736?year=2013&price_id=2754609
672,Traveller's Riesling 2014,Nomad at Hinterbrook,Canada,4.3,55,"79,129",https://www.vivino.com/nomad-at-hinterbrook-traveller-s-riesling/w/4896036?year=2014&price_id=14550159
